DEREIA EGOISMO LEREIA
CATCHAFLIGHT GIANTSCAUSEWAY CALLAIA
INNAMORATODITE PUBLICPURSE DONADEFE
TAMPATIMES SILENTTIMES TAMPABAY
ANAFLAVIA ELUSIVEQUALITY LOVINRAFAELA
BOYOFPOINT POINTGIVEN NEWROCHELLE
BEKARA TOPHAT MANUQUITA
EMPIREFAIR VETTORI NOBLEDEAR
CELESTIALVICTORY ARTAX CELESTIALWONDER
HOPEAGAIN NORTHERNAFLEET MILLEFOISMERCI
BANDOFHEAVEN POINTGIVEN HEAVENLYBAND
STIRLINGRHAPSODY PRINCEOFWALES SPRINGRHAPSODY
CERTAIN SILENTNAME NATURALFOREST
HALLEBARRY THAPPROVAL YIN
HALLEBARRYURU THAPPROVAL YIN
BRIOCHE TOPHAT PEROLAMIA
KHALEEJ TOPHAT GETLOST
SEMPERFI YAGLI SEEINGRED
SOYPUNTERA POINTGIVEN EXCEPTION
BELIEVABLEWINNER PUTITBACK JUSTAWINNER
ILETRADO SILENTNAME HONEYGLORY
FRANCOATIRADOR THIGNONLAFRE MICRONESIA
FUTLONG TOPHAT FREEDOOL
KYUUBI ASTORPLACE BOAVIAGEM
HEDKANDI CAPETOWN ORIGAME
RUBILITA CERUTTI DARLINGTHELMA
CRISTALDOSARGENTO SALUTETHESARGE MARNEMINUIT
ENGLANDSGIRL AMIGONI ROMANCISTA
FESTIVALOLIMPICO AMIGONI FULASPOWER
VITANUOVA BLADEPROSPECTOR MILLELIRE
HERMANOVIEJO MAJORSTORM PULIGNY
BONJOURMONSIEUR NORTHERNAFLEET NUITDOCILE
HAZELBERRY SETEMBROCHOVE MYSPECIALGALLERY
RARITA VETTORI CRISTIE
CINEASTA AMIGONI BELLACY
FULLFORCE GIANTSCAUSEWAY FURLA
BRINE NORTHERNAFLEET OTTAGE
ECLAIRROUGE REDRUNNER TWOPEOPLE
SELAVY HIBERNIANRHAPSODY EROTICPICTURE
FUNNYGAME METEORSTORM ZANZADA
BLANCNUGAE PUTITBACK TROTTOIR
BREEZE SOUTHAMPTON OPINIAOPUBLICA
FREDERICOGRANDE THIGNONLAFRE HAMBURGOPERA
BONCE FIRSTAMERICAN BOHEMIAN
BOWTIE METEORSTORM QUETEMPRANA
BETYOURDREAM NORTHERNAFLEET DREAMOFMONDESIR
HAUTPOINT POINTGIVEN FIESOLE
EMMATHOMPSON ACTEONMAN GRANADADOSUL
SUMITICA ELUSIVEQUALITY GUERRILHEIRA
DICOZAIA IMPLEXO NANILARK
DONADOTEMPO MAJORSTORM XAMANISTA
ZANTHON NORTHERNAFLEET MARAVILHAS
BREAKDANCE PUTITBACK SOUTHERNTRIP
OUTLOOK SINNDAR TANAHORA
DAWA WATCHMON DATEOFVICTORY
DOUTORVICENTE ZEDEOURO KIXAMEGO
JOEWALKER CHRISTINESOUTLAW CAMMORY
BELAPLATA GIANTGENTLEMAN HOJADEPLATA
MOCADEBIRIGUI HARDBUCK PINEIGHTY
FIREHEART PUBLICPURSE PJEXTRAVAGANZA
BOMBING PUTITBACK RAZETTE
HABOOURU THAPPROVAL ZONAFATAL
HABOO T.H.APPROVAL ZONAFATAL
EMPIREXHOW AMIGONI ESPERTADEMAIS
COUNTRY BOATMAN COLMEIA
VILINHA NEWYORK GAMBLINGGAL
SUPERREWARD GOODREWARD JOLIEARTIC
HEIMDALL HINTONWELLS AUTRICHE
VIRTUALSHOW AVANZADO CARINASHOW
PRINCIPESSACARLA ELUSIVEQUALITY NOSSAMAGEE
BROMS HARDBUCK VERDEJANTE
BEAUTYNYMPHET JOHANNESBURG NYMPHET
URSODELORENA NOTABLEGUEST INFINITODESEJO
PRINCESALARA SILENTNAME GOSTADELACO
VINHA NEWYORK CALIFORNICATION
CABOSBLANCOS SILENTNAME BRIGITDAWI
HEROOFTHENIGHT SLEWGINFIZZ YELLOWGIRRAFE
FILHOVENEZIANO THIGNONLAFRE VENISSA
CAPITANDOFAXINA HARDBUCK IRINADOFAXINA
CARCAMANO HINTONWELLS QUEDANADA
HABILEBIANCA MASTROLORENZO BIANCAFIGHTER
ELCUNHATAY PUBLICPURSE HANOVERIAN
DOMRUINART ROMARIN LAGARDENIA
ENERGIAFESTA HONOURANDGLORY QUEENWOODMAN
NUBURGRING NEDAWI HONEYCHRIS
STEPHAN NORTHERNAFLEET TROPICALLADY
BUBBLE PUTITBACK MERECATHERINE
BELCANTINA ARTAX MOCABONITA
HORTELABRAVA GOODREWARD ANETTY
FLORAMARELA METEORSTORM CENTRALDOBRASIL
BEARINMIND PUTITBACK OPPORTUNITA
HODLER REDRUNNER AMBERGRIS
CARBONERO HARDBUCK SUIPATCHA
BUSHGARDENS PUTITBACK COUNTRYBABY
VELOCIDADEDALUZ BLADEPROSPECTOR KEFORTUNA
HARA THAPPROVAL TOPDODGE
ORGULHOSA TOPHAT AGOODGIRL
LIGHTMACHINE ARTAX SUPERLIGHT
VICTORVIP NEWYORK AVANZADA
OVNI TOPHAT IGOTYOUBABE
WILDPROMISESARG WILDEVENT WHITEBEAUTY
BARFLY NORTHERNAFLEET FITTOFLY
BOLANOPE PUTITBACK PUPILLE
GOSSET ROMARIN CONALMA
GOLDHORSESHOE SINNDAR APRIMOGENITA
SHMUEL ARTAX GREATINTERN
BARONESSAARABE EMIRATESTODUBAI TAMMUZ
BACKFIRE PUTITBACK CALANDRELLE
BONTEMPS PUTITBACK JUSTPERFECT
QUAALUDE PARME DANDELION
INSTAMATIC DANCERMAN HILLLOVE
XAPOINT POINTGIVEN XABEGA
ORGANICA SINNDAR VIVIEN
HOTEVENTARG WILDEVENT HONEYHONEY
BRASILIANCUP REDRUNNER JUVENILECUP
NICEPOINT POINTGIVEN RONDESIR
HURRICANEWILD MASTROLORENZO BLOWINGWILD
INVISIBLETOREADOR REDATTORE OUTOFSIGHT
KEKO ROMARIN ENGUALICHADA
CARTAPOSTAL NUGGETDOFAXINA MISSFAXINA
GUTENMOGEN MASTROLORENZO SILENCELADY
COISALEGAL NOLOSE KRYSTALNOIR
AMOREBIONDA HENRYTHENAVIGATOR JEWELPRINCESS
PERFECTLYASSOCIAT PLEASANTLYPERFECT NICAROLACATROLA
NEWSMINDUSA BERNSTEIN ATRUEPUSSYCAT
NEWSMIND BERNSTEIN ATRUEPUSSYCAT
INVERNADA NAAQOOS STELLABERINE
FLYFARDA LEMONDROPKID FARDINHA
WIREDBRYAN STORMYATLANTIC REDMELODY
DATTIZNOW COLONELJOHN DATTTSDAWAYILIKEIT
INVOCADA DALAKHANI CLASSIRA
DESEJADAEINSTEIN EINSTEIN LAKESHOREVIEW
HELIDADDY LANGFUHR PEMAQUID
OLYMPICSERENA GRANDSLAM QUAPPELLE
UBBERLADYUSA MAGNAGRADUATE DYNAMIC
DESEJADAFIRST THEWAYYOUARE YINGYINGYING
AZARENKA HORSEGREELEY COUNTSEQUENCE
ALLEZCHLOEUSA BERNSTEIN DREAMSCAPE
OLIVERZIP CITYZIP ALLOFHERTWIST
ALLEZMARIEUSA UNBRIDLEDSSONG SUMMERLY
GOLDEO GALILEO BORNGOLD
FIRSTJULY CHOCTAWRIDGE TREFIORI
CORONALINDA MOLENGAO XETA
ITAPOLIS MOLENGAO LASPALMERAS
GREATGATSBY REFUSETOBEND ZIZIDIOR
WALTZQUEEN BLADEPROSPECTOR RAINHADOBAILE
WESTBYEAST BLADEPROSPECTOR HURIYAH
WINSTAR DURBANTHUNDER RIVOLTELLA
WYOMINGTHUNDER DURBANTHUNDER PRETTYMARY
SUCUPIRA MAJORSTORM EMOCAODAVITORIA
CASCALHORICO QUIRITARIO LADYCALIOPE
BEAST REDATTORE STRANDEDINPARIS
IDILIA SILENTTIMES DISKCHAMP
ITSFEELSWARM MRFRITZ CLUBMED
QUIEMOTION PEINTRECELEBRE ELLEMCPHERSON
TEMLENHA REDATTORE NIAZIA
JULIEHILLS SIPHON DOROTYHILLS
SKYFREE SKYPILOT JIGAJOGA
THETRUE VETTORI XENDAVAL
BONAPARTE ELUSIVEQUALITY PRINCESACARINA
NOBREPATRIOTA LINNGARI GOLDLABEL
TRUEFRIEND REDATTORE HIGHJINX
VICTORIANEW REFUSETOBEND QUESTINGNEW
SECONDTIME SILENTTIMES SESAMESTREET
BIRKINBAG ELUSIVEQUALITY PRINCESARAFAELA
OLYMPICEVERGREEN REFUSETOBEND OLYMPICCLOSE
VERODAVINCI PEINTRECELEBRE QUERIDAJOANA
TNTFRIEND REDATTORE BELLARENATA
INTERACT REVEDORE BIANNUALSPECIAL
BLESSEDTIGER AMIGONI OURDUBAI
BATENDOPATA AVANZADO OVERLIGHT
JULIEMYLOVE DURBANTHUNDER BALADEPRATA
HOPHOP FARENHEIT ESSAVOA
LINDAJOANINHA PEINTRECELEBRE POTPOURRI
BOADOPOUNCED POUNCED BOADERAIA
TIZAPPEAL REDATTORE SUCCESSFULTIZ
INTOWNGREEN CAPETOWN BANYAN
BANDONTHERUN ELUSIVEQUALITY PRECIOUSRAFAELA
HITHARD FARENHEIT LIRA
DARIANA MACHOUNO KALPA
CAMPEIRA PUTITBACK NINASABELLA
SPOOK SKYPILOT JARKA
ITSALLRIGHT SETEMBROCHOVE HASTYLILLY
GAIOLADASLOUCAS TOPHAT VALENTINEDAY
SAFIRABELA TOPHAT JOVEMVENCEDORA
GAITADEBOCA CRAFTYCT XISLAFRE
INCOMETAX MOLENGAO SLEEPINGPILL
BALADAELETRONICA SHIROCCO MANTABASCA
CANATO VETTORI RAINHARAPIDA
IAIA ELUSIVEQUALITY QUANTAMAGIA
MENINOALEGRE REFUSETOBEND ALEGRELADY
ENERGIAGARE AGNESGOLD ESTRELABOA
MARCADO BANDIDOSECRETO LEXCLUSIVE
GALHARDETE BONAPARTISTE MONALISASSMILE
HEROIDOIGUASSU TIGERHEART TAGARELADOC
DIVINAGOLD BOATMAN PTGOLD
BIGSTICK ELUSIVEQUALITY JOLIERAFAELA
OLYMPICEGYPT REFUSETOBEND ARTISAN
CABALLAZO SOUTHAMPTON OURACADEMY
LOREN WILDEVENT ESTRELONA
DUDUDEBE BOATMAN CAIPIRAPORA
OLYMPICEMIRATES ELUSIVEQUALITY HURRYUP
DONAMIMI HINTONWELLS LALABELA
KATUSKA MACHOUNO KERMITA
GOIABA METEORSTORM LAFLAMBOYANT
LAMPARD REDATTORE NEWHAMPSHIRE
BABUSARGE SALUTETHESARGE LATARTINE
WIBEKETHUNDER DURBANTHUNDER NIBLETTE
WOLFSBURG DURBANTHUNDER RAINHABAHIANA
BOUNTYHUNTER ELUSIVEQUALITY WHINNY
JUSTAFLEUR SHIROCCO BELLEFLEUR
OLHABEM TOPHAT OLYMPICDOUBLE
ANTHONYQUINN ELUSIVEQUALITY OHNEGUINHA
CANDYCRUSH EYJUR CHEIADECHARME
FORMIGALOTUS PIONEERING QUINTESSENCIA
CHELINE PUBLICPURSE TEXASVILLE
WIOLABELA PUTITBACK UNAVITABELA
COLOMBINA TOPHAT EROTICLIKE
CONFIAEMMIM WILDEVENT INHEAVEN
WEAVERTHUNDER DURBANTHUNDER NASTAZIA
TERZETTO ELUSIVEQUALITY CLASSICCOOL
COLORPICKER HARDBUCK MISENORA
PILANTRA TOPHAT IDEALCHOICE
CHILENADODGE DODGE LADYRE
SENHORLINCH IMPRESSION MADAMELYNCH
SAMAMBAIA MOLENGAO MUITARACA
LALEOCADIA NORWAYBOY JAIUNI
SUAALTEZA NORWAYBOY CAMPEACAMPERA
FIFIABDO SALUTETHESARGE CHIANCIANOTERME
LUCYINTHESKY TOPHAT INOX
LADYCHARLOTTE WILDEVENT GIMMEKISS
BUTE CRIMSONTIDE BATFIRST
TENTAASORTE ELUSIVEQUALITY DOUBLEDREAM
OGGIMAI IMPRESSION LAMLASH
ONEPIECE MACHOUNO GRACRUZ
PUERTOMONTT NEWYORK HORTOLANDIA
SECRETSONG SHIROCCO SELECTA
HORAFELIZ FARENHEIT NICELIPS
KUERA REDATTORE RASTACUERA
TWITTEIRO REDATTORE AQUARELADOBRASIL
VENTOLIGEIRO SHUDANZ HELENAGIRL
WALDHAR BLADEPROSPECTOR MEIGASENHORITA
BRYANADAMS ELUSIVEQUALITY IMPORTANTDAISY
COSTAQUENTE EYJUR CAMOMILA
OLDMIDAS PIONEERING BANKERCHAMP
JULIASTAR REDATTORE VIERNES
BANZENOOESTE ELUSIVEQUALITY NEWRAFAELA
WIGMUND PAVILLON KHURDA
CABINSKY PUTITBACK SKYPRINCESS
UKRAINIANTIMES SILENTTIMES UKULELE
GALGO CRAFTYCT EXPRESSCHRIS
CADETEDODGE DODGE CAROLSSPRING
QUINHAO IVOIRE QUEFESTA
CAFEZITO PUTITBACK RIGHTIDEA
OLYMPICECUADOR REFUSETOBEND REGALZUCA
CUTEANDSEXY SOUTHAMPTON LADYFORCE
CLASSICROAD WILDEVENT ROADTOJAMAICA
WILLBEPOSSIBLE BLADEPROSPECTOR EIMPOSSIVEL
CHEVALDEFER WILDEVENT SUPERCLASSE
SERTANEJA ZEDEOURO JOJOMAIOR
WITCHHUNTER DURBANTHUNDER ROSAAZUL
GREENLANDER HOLZMEISTER PIERSEVENTEEN
STOUNCED POUNCED STORMLEADER
MEIAHORA REFUSETOBEND HORADALADY
JOAOAMIGAO TIGERHEART HAYLESROSES
WINKANDSMILE BLADEPROSPECTOR NACRITE
DONWELLS HINTONWELLS GITANA
GREVILLEA MACHOUNO WILDMOON
CORESDAVIDA PITUDAGUANABARA PORPAQUETA
TITABELA REFUSETOBEND KELLYBABY
DINAGLORY AMIGONI MEDINAGLORY
PUSHBOTTON LODE PURAILUSAO
CRIMINALLEGACY PITUDAGUANABARA EH
RIONEVADO QUIRITARIO ITARUNA
LEADINGHAT TOPHAT LEADINGCAT
WONDERDREAM DURBANTHUNDER THISISADREAM
WORLDCLASS DURBANTHUNDER CLASSEESPECIAL
GOODLUCKCHUCK REFUSETOBEND BASILEIA
WILLIFIWANT BLADEPROSPECTOR ORASBOLAS
GALETO CRAFTYCT NICEVALLEY
AURORABOREAL ELUSIVEQUALITY CORESDOCEU
QUELQUN HARDBUCK BINOCHE
FLOWERSOUL REFUSETOBEND DELIMITADA
CALENDULA SHIROCCO LAURARICCI
OJODEBIFE ASIATICBOY AIGLE
VEUVEFOURNY CHRISTINESOUTLAW HOLYWOMAN
LAGALEISA EYJUR PEPITADEOURO
CLARABABY KINGSBEST WIDOWHOOD
CREBILLY LINNGARI QUENOITE
CREDENZA POUNCED NAOMI
CARBONATEDPURSE PUBLICPURSE NOTIVAGA
OMAN REDATTORE EXPERIMENTA
ROMANRED REDATTORE ROMANLAW
TIMTIM REDATTORE LAZZURA
MISSRUNNER REDRUNNER MALYDAR
OLYMPICEDMONTON REFUSETOBEND NAKABA
SWIFTFAST SKYPILOT LICAOMAIOR
LYRICMAN CHOCTAWRIDGE LUMMA
GOMORRA CRAFTYCT ANGELICAZAPATA
CEOERIS ELUSIVEQUALITY LOVELYLADY
JUJUROSA ELUSIVEQUALITY MAGAPATALOGICA
TANTIAUGURI ELUSIVEQUALITY SUCCESSFULFRIEND
OVERTABLE EYJUR SWEETSUNDAY
TEMUCO LINNGARI TEQUILASHAKE
GEORGESAND MACHOUNO PANTANEIRA
ORIGEM MACHOUNO FOURSEASONS
CRAZYCORONA MOLENGAO LACABANA
DONGUI SIPHON GHADEERZINHA
SOLOOSE SKYPILOT NENAREINA
AMADOMESTRE TOPHAT SYMPHONIOUS
ADREAMHOME YAGLI ENGLISHHOME
SIBRACING EYJUR OPERATRIX
CONSULAMERICAN FIRSTAMERICAN INSELBERG
DENGOSABIANCA HINTONWELLS FAVAS
OLLANTAYTAMBO IMPRESSION GLINTOFJOY
DRAGAOVERMELHO LINNGARI HITCHHIKE
JOSECUERVO PEINTRECELEBRE JOLIECAMILA
BORBOTON PIONEERING SARABANDA
OURAMA PIONEERING INNY
CITYDANCE POUNCED YOUARETHEBEST
JADESPAT PUBLICPURSE DIVINAPAT
WHISKYEXPERT PUTITBACK RUNJOLIERUN
GATOFANTASMA REDATTORE DIVINAFLOWER
ATACADO REDRUNNER MELISSAREAL
ICONA THAPPROVAL NEWCOMER
ICONAURU THAPPROVAL NEWCOMER
BOBDONIJU WILDEVENT MARYINGLADY
MISTERMARLON HARDBUCK MUSICOFLOVE
MRMAGIC HARDBUCK MISSDOURNESS
PICOTERO HARDBUCK INEEDYOU
GOTADECHUVA MACHOUNO FANTASTICSTAR
STEPPENWOLF MASTROLORENZO SENSUNIQUE
VANILLAVISTA NOVELLISTA IRERE
OLYMPICEZEIZA QUICKROAD LADYOFWAR
CHANGEOFPLAINS WILDEVENT TRIPOVER
BAITASORTE BONAPARTISTE MYROAD
DESANTIS HINTONWELLS QUIMERAS
ETERNAMENTEFELIZ IMPRESSION MARNELACOQUETTE
COMETAKARLO PITUDAGUANABARA KARLABAY
ORSON QUICKROAD PRIVATEACADEMY
MELHORGRUA REFUSETOBEND GRUA
LEMONTWIST WILDEVENT FORTYCARROTS
CHIAMATA ELUSIVEQUALITY QUERENCIAAMADA
MUITOLINDA REFUSETOBEND RAPSODIAARUMBA
IMAGESARGE SALUTETHESARGE ULTRAMONTANA
ENERGIAGILLES ELMUSTANSER GOTRUE
DARLINGSKY HINTONWELLS CORDOCEU
ENERGIAGROOM MUTASALLIL BEARHUNTER
EMPERORCAT PIONEERING SCHOLASTIC
DEEPURPLE SIPHON SETEDAAMADA
ANNAMIX LINNGARI APRESTO
GALICIA METEORSTORM VALIDNESS
SHARKDOCARIBE MOLENGAO HIPERVENCEDORA
ENERGIAGUILTY MUTASALLIL CRYSTALDAY
OUROEFIO PIONEERING STATUE
CRIMEPOLITICO SOUTHAMPTON ASSEZRAPIDE
SOLEILROUGE THOMPSONROUGE ATRACAOFATAL
FASCINATIONCAT MACHOUNO HENNYCAT
OMAH MACHOUNO KABBALA
POPGUN POUNCED NAGPUR
GREATERGOOD YAGLI GREATBOX
VANITYCASE CALCAREO TOTALQUALITY
DALHEGRANA EDOSUL PRINCESSEDUNIL
ORPHEUSARG FORESTRY ORAORA
COCKBURN IMPRESSION FARAWAYGIRL
SIBUNO MACHOUNO JUSTWIND
QUIVELOCE SHUDANZ MARNEDEMARSEILLE
VANITYSHU SHUDANZ ORNELLAINLOVE
ORPHEUS FORESTRY ORAORA
DIAMANTEDOFAXINA NUGGETDOFAXINA JUJUWILLIE
CARETWONDER WONDERTROSS XCARET
WENZELBLADE BLADEPROSPECTOR MISSPARAGUAY
WAVESOFMONEY DURBANTHUNDER RIOSDEDINHEIROS
BABYGOFAR ELUSIVEQUALITY LINDARAFAELA
BARTHOLOMEU JOBDICAROLINE WAYPOINT
SIBLION MACHOUNO USSPENSILVANIA
INDIOBALAZO NORWAYBOY IRONIE
CLOCKMAKER PUTITBACK PIROETTA
ALWAYSHOME REFUSETOBEND TAKEMEHOME
SOYES SKYPILOT PITCHULA
LIMAOCRAVO TOPHAT VESSETIKA
ESLOVAQUIA COREBUSINESS INDEVIDA
FRAUSCHARWZ GORYLLA VIENNASTRUDEL
BUENAMARIA PIONEERING BEAUTIFULMARIA
CONCUBINE PUBLICPURSE OITAVAMARAVILHA
WINTERSUN PUTITBACK NATLA
WILDKATZE SHIROCCO SAVAGETTE
SHOW TOPHAT EVENCEDORA
FASTEVENT WILDEVENT MILFOLHAS
DAMASCODOFAXINA ASTORPLACE KOSTROMA
JUNGLETIGER POUNCED LATIGER
BILIFULL ROYALAPPLAUSE BINTHEREDUNTHAT
GUYSAVOY CAPETOWN JASCHA
WHATEVERITTAKES DURBANTHUNDER SANDALIADEPRATA
BAMBAM ELUSIVEQUALITY RAINHACAROLINA
JULIETTEQUALITY ELUSIVEQUALITY INDIANETTE
QUEIXOSA HOLZMEISTER BOANA
DIMEQUESI INEXPLICABLE SANSRAISON
ORZUELA MACHOUNO ITISCHARMING
EMPERORSTORM MAJORSTORM FACCAO
EBULIENTE PIONEERING TATIANASURENA
JUSTICESERVED SILENTTIMES JUJUBA
QUEOPS TOPHAT KATITAPORA
ILGAY YAGLI ARMYSWEET
DIVERTIDAGAUCHA DODGE LENDAGAUCHA
CLIFFSHOPE LINNGARI TRANSLUCIDA
COMICAL LINNGARI FELICIDAD
CHAMPIONFABRE PEINTRECELEBRE MUSADAYAKUSA
CRYFORHAPPY ELUSIVEQUALITY SALLEDEBAIN
ORECHINO IMPRESSION PRONTANAHORA
STUDEBAKER PIONEERING MARIACALLAS
LAUDRUP SHIROCCO CANCIONINDIA
CHERCHEZLAFEMME SIPHON PRETTYCARINA
CARROCELENCANTADO ELUSIVEQUALITY QUANTOCARINA
SOUGAUCHA HOLZMEISTER MOCITAGAUCHA
GOA METEORSTORM QUINNGIRL
PRATASARGE SALUTETHESARGE HOWDRYIAM
EVENTONUCLEAR WILDEVENT ELETRONUCLEAR
ESCUDODIAMORE BONAPARTISTE OBOEDAMORE
ILDOGE CAPETOWN CRUELESS
CERVEJAPIELSEN EMIRATESTODUBAI NENENZINHADOPAPAI
TARATATA IMPRESSION ONLYIMMENSITY
WELLROCKYOU MACHOUNO PEDRAPRECIOSA
DUCKYDOFAXINA SHUDANZ PIMENTINHA
SNOWBOARD HARDBUCK DAMADAPISTA
DEGUSTATION HINTONWELLS CEMMILHAS
DISNEYKING IMPRESSION LACCIARELLA
AYAYAY POUNCED AEKAEAE
CHARLABUENA PUTITBACK GONDOLEIRA
OLYMPICEPSON REFUSETOBEND DEVELOPMENT
GALATEIA TIGERHEART GOODLINESS
GRIZELDA TOPHAT LARASCASSE
OLYMPICEVEREST ACTEONMAN FURIAOLIMPICA
ENERGIAGLITER AGNESGOLD TEMPEROCARIOCA
SPEEDLOAD ARTAX RITORNAAMORE
OVERNIGHT ASIATICBOY JEWELOFFRANCE
CABORTEIRO EMIRATESTODUBAI PHENOMENALBABY
OVUNQUE MACHOUNO ELFISHNESS
BONITO POUNCED BOLONHA
TRICKPRINCESS PRINCEOFWALES QUINTESSA
DASFARRAS SIPHON LABOQUITA
FASHIONAPPEL SUCCESSFULAPPEAL MADISJUL
IRONHORSE THAPPROVAL TENGASUERTE
HARMONIAGOLDEN TOPHAT PEARLGOLDEN
THANKSNOTAVEL VETTORI NOTAVELSUREÑA
ENERGIAGAROA AGNESGOLD LIRADAGUANABARA
THOUSANDMILES EYJUR TANTAN
BIGKING FORESTRY EMERALD
DONBASANO HINTONWELLS DOUBLECIRCLE
RASPERSARGE SALUTETHESARGE ALWAYSAMOMENT
JUMPLADY SHIROCCO FUJIYAMALADY
CONSEJOINDIO SOUTHAMPTON GREYHOPE
FOOFIGHTERS AMIGONI RUBIALIGHT
QUERENDAO ARTAX BOLABRANCA
DAYTONATOP BONAPARTISTE TOPCLASSNORMAND
ADMIRADOVERSATT EYJUR GIPROVINCIA
QUERIDOMEU HOLZMEISTER FLYINGCHRIS
EVERSIPHON SIPHON VERVIERS
FRUTADOCONDEARG FORESTRY FRUITCUP
IMPRESSIVEREWARD GOODREWARD LUNADAGUANABARA
DOBLEUNO MACHOUNO KANAKA
MAJESTOSO POUNCED MAJACA
CAMONETE PUTITBACK QUATROISLAS
RATON SNACKBAR UNIVALENT
QUISSODRUGO TIGERHEART CANADIANBACK
LEMAIRE VETTORI FASTMILE
FANTASTICNIGHT AMIGONI SEEKINGLUCK
ELVERDUGOTRICOLOR COREBUSINESS INTHEBEACH
JUSTSTROIKA PUBLICPURSE STROIKA
GASTROQUET REFUSETOBEND VARENNE
ODAFF EYJUR DAFLAN
SIRMILLER LINNGARI JADALMA
STANDUP LINNGARI KIFORTALEZA
LOLLA PAVILLON GRAXA
GUITARHERO SHIROCCO ITALIANHUNTER
WISHITA VETTORI HURRYRAFAELA
OCEANWAY CRIMSONTIDE HOPE
PAINTNAIF CRIMSONTIDE PAINTERSDREAM
EMPERORSELLER IMPLEXO DEBORALARK
GREENGARDEN METEORSTORM VLATAVA
CABANEIRO NEWYORK RIOKOSAN
NOSSAAMIZADE PIONEERING NEWLADYVIXEN
CAPANGA PUTITBACK SALVEELA
OFFTHEROAD QUICKROAD INTUICAODIRETA
SOJET SKYPILOT ATENDADAFIGHTER
DOUBLEUP BONAPARTISTE APILADA
CELEBRELOVER PEINTRECELEBRE URBANALOVER
KLOOF POUNCED RACKET
VIDAVISTA PUBLICPURSE SANGRELATINA
INTHEMONEY REDRUNNER LETHALLOVER
CAPITOLIO SILENTTIMES JINGLEBELLS
OFTENTIMES TIGERHEART INFALIBILE
BRAVECAROLINE ELUSIVEQUALITY NOSSACAROLINA
NINFETADEBIRIGUI MOLENGAO JOIADEBIRIGUI
DALHECAMPONESA PIONEERING SPADE
FRISSON REFUSETOBEND ONDAGIGANTE
WITCHBLADE BLADEPROSPECTOR JAKLINELONGCHAMP
ICANDOIT ELUSIVEQUALITY ICECOLD
INFURIATO MOLENGAO URTIGONA
ETDIRUNNER REDRUNNER RAINHADABATERIA
OLYMPICEAGLE REFUSETOBEND MISSSERENA
BRUNELLO VETTORI SEGOVIA
CATCHAWAVE WILDEVENT MUSTBEFLYING
INDUJOAMORURU YELLOWFEVER AMORAOSPEDACOS
INDUJOAMOR YELLOWFEVER AMORAOSPEDAÇOS
ELCORAZONBANDIDO COREBUSINESS CARMELAPOMMERY
CHAMPIONTITI POUNCED XICADANZ
CARAMENINA PUTITBACK REMIX
VENETAVISTA LINNGARI EASYRIDER
CADDY QUATROMARES SALAVIP
PRINCESASARGE SALUTETHESARGE MENSAGEMEXPRESSA
NAMALICIA SHUDANZ NOVEMBERRAIN
SELOTOTAL TRUECONFIDENCE PASTMIDNIGHT
INEXISTNAME YELLOWFEVER YOILILLY
WHATASUCCESS BLADEPROSPECTOR QUESUCESSO
OUTOFTOWN CAPETOWN BERGERA
GOLPEBAIXO CHOCTAWRIDGE VALDISERE
WIGATHUNDER DURBANTHUNDER ZORRACAICADA
CAPITAODUBAI EMIRATESTODUBAI ENERGICAMENTE
DALHERUCK PIONEERING RINGADING
EXPRESSWINNER PIONEERING SEDUCEMINISTER
FANDANGODOTUIM REFUSETOBEND BARWOMAN
DIANADOFAXINA SHUDANZ POLTAVADOFAXINA
TOBEORNOTTOBE VETTORI IDOLATRADAEXPORT
TIRACISMA FACTORYORDER GAINSCURRENT
AMIGA PUTITBACK LADYAMIGA
FREETOWIN AMIGONI SUMMERVILLE
TONIAMICO AMIGONI CANDYFACE
BIGMAC ELUSIVEQUALITY PUMAKITTEN
GOLLIVRE FIRSTAMERICAN PARCERIA
GRILADO FIRSTAMERICAN NOTIZIA
SENHORDUQUE IMPRESSION DUCHESSENOIRE
CUOREDAMORE MACHOUNO BYTHELAW
CAPELADOALTO QUICKROAD SANTACANDIDA
GAROPABA SHIROCCO DORISDAY
CROCANTE SIGNALTAP RESCUEFORCE
PIONEIRO BANDIDOSECRETO PEROLADOBRASIL
UNIVERSALLAW CHRISTINESOUTLAW UNIVERSALRARA
RUIDOSA DONPIAZZOLLA ANORANZA
GENTILE FARENHEIT GENTILEZA
LEBRON LINNGARI APOSTACERTA
SIBMACHOUNO MACHOUNO OUTRAMAIS
KEEPFIT REDATTORE DANCINGCOLORS
TOPRUNNER REDRUNNER TAGALOG
CHILDHOODMEMORIES REFUSETOBEND THEATRICALQUEEN
GOLDENESSENSE SHIROCCO FELICIDADEBELA
CORDAROSA SILENTTIMES GIGIDAMANGUEIRA
FRAGANCEDAMOUR VETTORI FRENCHLADY
CABALLODEHIERRO WILDEVENT BUKEBELE
WENTUROSATIDE CRIMSONTIDE VENTUROSA
HATUCHAY PIONEERING HORALEGAL
FREETOLIVE POUNCED FREETOLOVE
MACCLOUD SALUTETHESARGE NEFAS
SODREAM SKYPILOT PODEROSADODGE
FLYLOW VETTORI JUSTFLYLOW
DESEJADOMAGEE ELUSIVEQUALITY GLORIOUSMAGEE
CHERENDASFLYER EMIRATESTODUBAI FIRSTFLYER
